,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
404235,The Inside Line,,"From the team that brings you ‘The Inside Line’, Unbeaten F1 is your home for all things Formula One. Race coverage, news, features & analysis.",2015-11-08 22:52:57,5027.0,3148.0,5332.0,FALSE,2021-12-09 6:08:37,"EXCLUSIVE VIDEO

🇦🇪 What's your prediction for Abu
Dhabi this weekend?

We preview the final race.

#Formula1 #F1 #Formule1 #News 
#Motorsport #Sport #AbuDhabiGP

Click here for the clip:
https://t.co/Vu0PKZEI1F https://t.co/3iSaFdihNg","['Formula1', 'F1', 'Formule1', 'News', 'Motorsport', 'Sport', 'AbuDhabiGP']",Twitter for Android,FALSE
168263,RaceFans Live,,"Live coverage of all F1 sessions and other series including IndyCar, WEC, Formula E amd more. Follow @racefansdotnet for independent motorsport coverage.",2011-02-15 21:07:51,30082.0,2,113,FALSE,2021-10-23 22:04:05,"Verstappen takes pole, Hamilton starts alongside him and Perez will start third at the #USGP

#F1","['USGP', 'F1']",Hootsuite Inc.,FALSE
22872,Gredy Nainggolan,,Liverpool FC - Houston Rockets || Traveller Wannabe || God Bless ya all :D || Beginner Designer,2010-12-22 2:59:40,463.0,2144,12422,FALSE,2021-08-01 13:42:43,ESTEBAN OCON LEADS F1 RACE!!!! #F1,['F1'],Twitter for iPhone,FALSE
402702,FanFuel Motorsports,The track,"Discussing the diverse world of motorsport while being fueled by its fans. Hosts: @HarringtonMAH11, @b1gnate_11, @CranmoreColton, @pkjared9.",2021-02-03 1:26:28,130.0,236.0,381.0,FALSE,2021-12-09 14:12:01,"Sorry for the quality, but here’s a great fight between @alo_oficial and @danielricciardo for 5th place in the 2014 German Grand Prix. 

“He was very, very smart, very respectful with the rules, and it was a great fight” - Alonso

#F1 https://t.co/AHM7FafLE6",['F1'],Twitter for iPhone,FALSE
622789,Gopal Kalpande🇮🇳,"Hyderabad, India",Senior Analyst @tigeranalytics,2010-06-16 1:08:22,31.0,71,995,FALSE,2022-07-03 15:36:16,"It’s pretty absurd that they are not broadcasting @SChecoPerez  overtakes.
 @redbullracing @F1 @SkySports 
#f1 #SilverstoneGP #Silverstone #BritishGrandPrix2022","['f1', 'SilverstoneGP', 'Silverstone', 'BritishGrandPrix2022']",Twitter for iPhone,FALSE
341826,Jason Linham,"Bath, UK","SQL developer,photographer, pianist in training, big fan of motor racing (most formulas).",2010-01-07 9:04:04,128.0,188.0,89.0,FALSE,2021-12-12 14:37:06,Well done to @MercedesAMGF1 and @LewisHamilton for what should have been your championship. @fia have ruined this year's championship #F1,['F1'],Twitter for Android,FALSE
516626,Arpit Rathi,🇮🇳 India,,2010-03-16 10:17:52,665.0,202,5248,FALSE,2022-02-09 16:44:46,clean. #F1 https://t.co/oDjV6Gl30L,['F1'],Twitter Web App,FALSE
326440,Trevor Ncube,Harare,l am not my newspapers. My newspapers are not me. Born Again Christian. Keynote Speaker. M&G Media (2002-17) @NewsDayZimbabwe @HStvZim @TheStandardzim ZimInd,2009-03-17 7:27:44,246160.0,572,45092,TRUE,2021-12-12 14:55:57,"What an end to the #F1 season. 
#AbuDhabiGP #TeamHamilton","['F1', 'AbuDhabiGP', 'TeamHamilton']",Twitter for iPad,FALSE
211298,Mobil 1 The Grid,"London, England","Welcome to the official home of @Mobil1 The Grid 🏎️ 🏁 Keeping up to date with the world of #motorsport - including #F1, #NASCAR, #WEC and more!🏆",2010-03-05 12:40:39,48749.0,1095,125246,TRUE,2021-11-07 19:00:32,"Here we go... the formation lap is underway! 

#F1 #MexicoGP","['F1', 'MexicoGP']",Twitter Web App,FALSE
441604,Pep0tv,"Barcelona, Spain",Virtual safety car fan Club. Creo en EL PLAN.    Creador de contenido en https://t.co/Al9B0o243s,2019-04-07 12:03:00,15.0,88.0,56.0,FALSE,2021-12-05 18:38:57,"""All the time you have to leave a space"" #F1 #maFIA https://t.co/wsU5Yj3D9i","['F1', 'maFIA']",Twitter Web App,FALSE
350892,Prof Mark Jenkins,"Cranfield, UK","Emeritus Professor, Cranfield University. Passionate about how we can learn from the high performance world of #F1. Views expressed are my own.",2009-10-11 13:34:36,2028.0,220.0,4320.0,FALSE,2021-12-12 14:29:57,@MercedesAMGF1 on course for eighth consecutive #F1 world constructors’ championship.,['F1'],Twitter for iPhone,FALSE
220201,Captain Planet,,,2020-08-20 9:39:04,11.0,0,22,FALSE,2021-11-18 18:40:17,"@Formula1arg1 #F1 
Michael can you review #BritishGP again before #BrazilGP?

🏎️🇬🇧 🏎️🇧🇷 🏎️🇶🇦

@fia @F1 @redbullracing @MercedesAMGF1 @Max33Verstappen @LewisHamilton @HondaRacingF1 @F1Media @bbcf1 @SkySportsF1 @Motorsport @F1Gate @ESPNF1 @racefansdotnet  @autosport
https://t.co/55u9dXmhW7","['F1', 'BritishGP', 'BrazilGP']",Twitter for Android,FALSE
190779,Lights Out ●●●●●,,"The home of useless F1 facts. Not yet an award-winning Formula 1 blog, written by @NickyHaldenby. Contact: nicky@lightsoutblog.com.",2016-03-15 15:41:45,10444.0,3111,17259,FALSE,2021-11-12 19:50:00,2019 was the first #BrazilGP of the V6 hybird era at which Mercedes did not take pole position! Here's a reminder of the recent pole times! #F1 https://t.co/vENaclqkav,"['BrazilGP', 'F1']",TweetDeck,FALSE
220163,Formula 1 ❼,Around the world,"1️⃣ Max Verstappen - 332.5 points
2️⃣ Lewis Hamilton - 318.5 points

🔜  Qatar Grand Prix | 22 November — Roleplay account. Not affilied with @F1 or FOM",2019-02-15 3:48:13,433.0,198,3434,FALSE,2021-11-18 18:49:18,"Hands up if you can't wait to see George Russell team up with Lewis Hamilton 🙋‍♂️🙋‍♀️

#QatarGP 🇶🇦 #F1
https://t.co/0Iopjv9Odj","['QatarGP', 'F1']",TweetDeck,FALSE
349284,Wow & Flutter,"Montréal, Québec","DJs rock&roll as Haggard Bastard. Makes music as IFF (and sometimes Taperecorder.) Old punk, former raver, eternal juvenile delinquent. 
↙️↙️↙️",2017-04-17 14:38:03,152.0,390.0,24955.0,FALSE,2021-12-12 14:33:50,"I’m done with #F1 
This is bullshit.",['F1'],Twitter Web App,FALSE
572064,Gabriella,,"Seriously though, what planet is this?",2009-04-11 22:21:43,848.0,361,10228,FALSE,2022-04-22 16:39:15,So many Red flags in this quali… straight up the story of my life #F1 #ImolaGP,"['F1', 'ImolaGP']",Twitter for iPhone,FALSE
284488,Joseph,United Kingdom,"Just an average Joe with an interest in theme parks, trips, music and vlogging! https://t.co/f47tr22TGF Follow me over on #Instagram too @TheAverageJoeUK",2017-06-15 18:38:06,423.0,487,6325,FALSE,2021-11-21 13:59:53,What a grid….! #f1,['f1'],Twitter for iPhone,FALSE
511423,Best (Social Media App),"Los Angeles, CA","🌐 What's #Best Today ? 
📌 Discover, Share & Win the Best ! 
📱 Download the #Best #App : https://t.co/atmER3G9Xv",2019-04-02 0:33:28,141.0,5,56091,FALSE,2022-01-08 16:40:46,"Discover and Share your #Best #sports content
Download the Best #app ==&gt; https://t.co/d9gQTtSJkW 
#f1 #formulaone #formula1 #sports #sport #action #gp #grandprix #autoracing #motorracing #pierregasly #gasly  https://t.co/BgF41eg2vu https://t.co/ZhYRU1gsMc","['Best', 'sports', 'app', 'f1', 'formulaone', 'formula1', 'sports', 'sport', 'action', 'gp', 'grandprix', 'autoracing', 'motorracing', 'pierregasly', 'gasly']",THEDOTBEST,FALSE
436261,"JoeHart,Advocate&ADA",United States,#LiveStreaming @YouTube https://t.co/dBy92T5Kd4 #InvisibleDisabilities in Motorsports https://t.co/9b3nrLhoJn https://t.co/1C2tEPn0bc,2012-05-22 2:29:29,6877.0,22470.0,28127.0,FALSE,2021-12-05 19:17:47,"#SaudiArabiaGP
36of50L🟨VSC

VER🔥
HAM+.482
OCO+8🔥
RIC+4
BOT
GAS+3
@Anto_Giovinazzi+11🔥
SAI
LEC
STR
NOR
LAT
ALO-3
VET
RAI-1L
TSU.
RUS:Out
PER:?
#WeSayNoTo💩LAST!Always!
MSC:Out.

:@F1-#F1
@FIA

@SaudiArabianGP
@SaudiArabia

@JeddahCircuit

#InvisibleDisabilities
JoeHart❤️,PwD’s","['SaudiArabiaGP', 'WeSayNoTo', 'F1', 'InvisibleDisabilities']",Twitter for iPhone,FALSE
394892,Blitz,,Self Proclaimed Godman & Journalist.,2019-09-18 10:57:19,248.0,370.0,4894.0,FALSE,2021-12-11 9:02:22,"Japanese GP 2012

This is proper racing! This is how it should be done 🔥

1:38 👀 Kimi's car control and spatial awareness 👑

#F1 https://t.co/nXomgCHz85",['F1'],Twitter Web App,FALSE
58043,Sports Annual,,Sports Annual measures race driver performance by calculating wins and points per start. A world championship of winners from 1950 till today is the result.,2017-09-17 15:59:31,23.0,87,307,FALSE,2021-08-11 11:26:31,With 6 wins from a stupendous 256 starts (and a handy 1.113 standardised points per race) Patrese is P72 of 98 #F1 drivers classified by Sports Annual on wins and points per start. Full table this Sunday at https://t.co/39pKjCdPad https://t.co/wofdGKLVIv,['F1'],Twitter Web App,FALSE
501030,WeDGE,East Coast,"Founder of AOD Racing @officialclanaod, I sim race and have an obsession with synthwave, I tweet F1/NASCAR/Gaming stuff",2015-05-14 2:34:26,198.0,547.0,2998.0,FALSE,2022-01-15 23:49:10,"We saw Daniel Ricciardos last win in his career last year at Monza, he stepped away for a while. Came back and won and stepped away again for good. That's my prediction #F1,  I still like the guy. Don't @ me just saying what I feel

If I get correct in the next two years, good",['F1'],Twitter for Android,FALSE
410089,Wijco van Zoelen,Tiel,"Photographer, Ajax, FC Barcelona and Liverpool FC watcher, Apple, Tielenaar, Owner of FotoWijco (@FotoWijco), also photographer @oogoptiel & @betuwefoto",2009-06-13 9:50:35,245.0,182.0,301.0,FALSE,2021-12-06 18:13:01,@MercedesAMGF1 reveals new sponsor @fia #maFIA #F1 #FIA #fiamaffia #MaxVerstappen #LewisHamilton https://t.co/XjA6Tr6ZnR,"['maFIA', 'F1', 'FIA', 'fiamaffia', 'MaxVerstappen', 'LewisHamilton']",Twitter for iPhone,FALSE
340050,Melissa Johnson,"Sunderland, England","vintage rascal, football whinge, women's rights devotee, journalism graduate & internal comms and engagement manager. A wise lass @wisemensaypod",2009-02-27 18:31:12,1089.0,2425.0,71329.0,FALSE,2021-12-12 14:38:08,"Verstappen and Horner are two peas in a pod - both snotty, arrogant brats #F1",['F1'],Twitter for iPhone,FALSE
51586,Imran Husain,"Santa Monica, CA","Based in Santa Monica, California, Imran Husain leads IH Investments, a family-owned investment firm that has a focus on the commercial and multifamily markets.",2020-04-01 0:19:05,4.0,12,30,FALSE,2021-07-29 10:30:00,"F1: If life begins at 4️⃣0️⃣, @alo_oficial has plenty more adventures ahead of him!

Happy birthday, legend 🎉

#F1 @AlpineF1Team https://t.co/E9w6ncsRiU",['F1'],IFTTT,FALSE
440018,Kay,Netherlands - Gouda,Food-blogger living it up in the burbs. Highlights of my day include breathing and writing large amounts of rambling text.,2009-01-13 13:11:54,5026.0,814.0,13302.0,FALSE,2021-12-05 18:46:09,Ohhh wow! #F1,['F1'],Tweetbot for iΟS,FALSE
260074,Neville Cooper,Mellor,"Love life, smile, make Carole smile and have fun",2009-11-25 12:19:24,61.0,301,3155,FALSE,2021-11-13 16:47:31,Max's wing looks like its winking at us.  Is this being investigated or is it just the camera angle? #F1 #F1Sprint #rearwing #BrazilianGP #MaxVerstappen #Lewis https://t.co/Dc5MGL6kK5,"['F1', 'F1Sprint', 'rearwing', 'BrazilianGP', 'MaxVerstappen', 'Lewis']",Twitter for Android,FALSE
513852,F1 Alex,(RSA)Cpt (ZW)Hre (COL)Bog,"Retired Cricketer |Animator |Illustrator for @azureartinc 
IG📷 azureartinc | F1

💻 alexmarunda@gmail.com

enamorado de Colombia y me encantaría vivir allí !",2014-10-27 15:35:53,973.0,659,9227,FALSE,2022-02-10 14:24:38,"When this guy shows up you know the car won't be fast #AM22 

Sorry Seb 
#F1 https://t.co/Zckmdrwmf9","['AM22', 'F1']",Twitter for Android,FALSE
403289,DHL_Motorsports,"Bonn, Deutschland","With 35+ years in motorsports logistics, we have a proven track record for getting the world’s top international racing series onto the starting grids.",2017-05-24 12:20:31,7077.0,317.0,81.0,FALSE,2021-12-09 12:00:02,Abu Dhabi is the final stop on F1’s massive 2021 world tour. Who will be crowned 2021 World Champion? Find all the latest information about the #AbuDhabiGP in our #F1 Logistics Hub: https://t.co/lqu34m5KHf https://t.co/LQFbx9fFTg,"['AbuDhabiGP', 'F1']",TweetDeck,FALSE
84980,Inside The Paddock | Best F1® Memes,Baku,Follow for the best #F1 memes every day!🏁🏎,2021-06-04 0:21:04,285.0,240,0,FALSE,2021-09-09 14:03:33,"Monza setups be like:

📷: RudieBatsbak  #f1 https://t.co/7YDK77WhRu",['f1'],IFTTT,FALSE
576350,Sandy,The Mane Net,🦁 311 🦁 6431,2012-11-17 13:00:57,2153.0,1044,3178,FALSE,2022-04-22 14:52:34,Bullish on @cryptocom bullish on @LoadedLions_CDC and bullish on @AMR_Official - #WAGMI #F1 #ImolaGP https://t.co/yJ5FG9nX1S,"['WAGMI', 'F1', 'ImolaGP']",Twitter for iPhone,FALSE
269402,Racing News F1,,This is gonna be a great #FormulaOne season!,2013-05-28 15:50:42,487.0,173,34,FALSE,2021-11-23 8:28:07,"Pitpass F1: Horner's criticism of marshals was not acceptable, says Masi #F1: https://t.co/Y67wQuCGtm!",['F1'],IFTTT,FALSE
463946,Matt        Mason,#Kent  #England,@thegillsfc fan / Studio management ( @ Primetime media group) / @unilincoln graduate / #Coffee drinker / mini golf connoisseur / @parkrun & running amateur,2012-04-22 20:50:36,980.0,3263.0,219239.0,FALSE,2021-12-04 18:03:37,😮🏎  unbelievable Q3  😮🏎🇸🇦 #F1 #SaudiArabianGP #Qualifying,"['F1', 'SaudiArabianGP', 'Qualifying']",Twitter for Android,FALSE
19501,F1 Racing,Where #F1 is BUD LGG YYZ,Live updates of the Formula 1 auto racing championship. Technology on the edge. Independent #F1 commentary unaffiliated with @FIA or @F1 — Est. 2007 @F1racingx,2007-10-07 4:43:32,30018.0,749,18265,FALSE,2021-08-01 14:06:29,"LAP 25 Lewis Hamilton passes Schumacher for P8

#F1 #F121BUD #BUD #HungarianGP #Formula1 #Hungaroring #Budapest https://t.co/pL3cfFn8tH","['F1', 'F121BUD', 'BUD', 'HungarianGP', 'Formula1', 'Hungaroring', 'Budapest']",TweetDeck,FALSE
32454,DaRealOat,,@MELOD1P,2017-04-24 2:50:17,22.0,454,1696,FALSE,2021-08-01 13:08:58,Coincidence? I think not #f1,['f1'],Twitter for iPhone,FALSE
218207,Amol Kulkarni,,"I am a YouTuber and a Social Media freak🤓 Have over 850 Subs on my YouTube Channel...!!!
My YouTube Channel 👇",2018-11-30 12:45:09,214.0,319,34339,FALSE,2021-11-19 11:37:09,"Still there is no one favorite for pole this weekend after FP1. We have to wait for the end of FP2 to get a clear idea of who the favorite will be.

#F1 #QatarGP #Formula1","['F1', 'QatarGP', 'Formula1']",Twitter for Android,FALSE
129100,LambdaGod 🧙🏻‍♂️,,And God said “Let there be volatility”,2021-07-24 22:57:40,7.0,63,69,FALSE,2021-10-22 15:13:53,"@LandoNorris I just landed in Austin TX, let’s acquire this bread Lando #McLaren  #f1 #AustinTX","['McLaren', 'f1', 'AustinTX']",Twitter for iPhone,FALSE
153812,Stephen Benge,,"From Kent, in England. Love football, tennis and F1 :-)",2009-07-06 13:41:39,142.0,2923,6237,FALSE,2021-10-24 20:39:52,"What a drive from Max, fantastic finish #F1 #USGP","['F1', 'USGP']",Twitter for iPhone,FALSE
205150,Michael Arietta,3rd planet from the sun,"Heavy right foot, delicate left foot. Non tree-dwelling primate.",2010-05-22 6:36:59,264.0,2030,42121,FALSE,2021-11-07 20:35:43,I voted for S. PEREZ as #F1DriveroftheDay. Make your vote here: https://t.co/YFAm4sNjAs https://t.co/I3zdYB5wlH #MexicoGP  #F1,"['F1DriveroftheDay', 'MexicoGP', 'F1']",Twitter for iPhone,FALSE
6948,Morsh,"London, England","Yeah intelligent input darling, why don’t you just have another beer then",2009-02-26 19:22:20,1656.0,290,6612,FALSE,2021-08-01 15:31:46,Hamilton did NOT look well then 🥺 #f1,['f1'],Twitter for iPhone,FALSE
585205,Michael O'Sullivan™©,"Bourne, England","🚴‍♂️ Cycling 9-5 🏒 Ice hockey 🏎F1 , Crypto enthusiast and 🥭 mango man!",2009-06-19 22:48:41,264.0,574,357,FALSE,2022-07-01 22:48:52,"This one was fun - Monaco Hotlap 🇲🇨🏎 😎

#speedforlife #f1 #f122 @TSpeedEsports 

https://t.co/rkgdARSOWt","['speedforlife', 'f1', 'f122']",Twitter for iPhone,FALSE
387012,RaceFans,racefans.net/support,"Independent Motorsport Coverage • #F1, #IndyCar, #FE, #F2, #F3 & more • https://t.co/BunjWgn09U",2008-02-12 9:29:07,107888.0,1234.0,9637.0,FALSE,2021-12-11 14:53:19,"NEW: Points deduction rule reminder was issued for fans as well as drivers – Masi - https://t.co/JIwvvGljrT 

By @hsouthwellfe

#F1",['F1'],RaceFans 20181015,FALSE
26367,F1 Ramble,,"Two guys rambling on about F1! New episodes every week.
Listen here:

https://t.co/IpxDWXpeME


https://t.co/HTELQLOKyc",2021-02-05 15:35:34,35.0,143,309,FALSE,2021-08-01 13:34:54,"How long until slicks?? It’s crazy how dry that track now is

#hungariangp #f1 #formula1","['hungariangp', 'f1', 'formula1']",Twitter for iPhone,FALSE
101546,Laura 🍁🏒,"Tsawwassen, British Columbia",Love hockey and all forms of auto racing #NFB #Canucks #RedWings #BCLions #BlueJays #OneChicago 🇨🇦,2015-05-23 16:08:34,2902.0,4322,214547,FALSE,2021-09-05 14:36:44,Home race win for @Max33Verstappen ! #F1 🏁,['F1'],Twitter for iPhone,FALSE
545537,Speakers Corner,"London, UK","A leading speaker bureau sourcing after dinner, motivational, keynote & conference speakers for global events. One half of the #KnowledgeGuild partnership.",2009-03-18 15:33:13,10681.0,3917,5001,FALSE,2022-03-08 12:00:14,"#Journalist, #broadcaster and #eventhost Jennie presents and reports on #F1 for the BBC and is one of motorsport’s foremost media professionals.

For more information or to book Jenny visit https://t.co/TDGC7gkhEd or speak to one of our experts on +44 (0) 20 7607 7070. https://t.co/hAb8blBmaO","['Journalist', 'broadcaster', 'eventhost', 'F1']",Sprout Social,FALSE
237204,Andrew Webb,"Nuneaton, England","Leicester City, Sport & Eurovision Song Contest fan from North Warwickshire.",2010-03-22 23:11:17,136.0,431,254,FALSE,2021-11-14 18:38:13,"Hamilton wins the Sao Paulo GP.
3 races to go....its not over yet...Qatar next week. #F1 #BrazilGP","['F1', 'BrazilGP']",Twitter for Android,FALSE
